case_ref,fraud_type,category,is_scam,channel_name,sub_scenario,detection_method,case_owner_team,case_status,fraud_start_ts,fraud_date,detection_ts,customer_report_ts,resolution_ts,amount_attempted,amount_lost,amount_recovered,net_loss,recovery_rate,transaction_count,reimbursed_flag,provisional_credit_flag,cross_border_flag,detect_lag_hours,report_lag_hours,resolution_days,report_lag_band,product_name,balance_band,zelle_enabled,account_status,customer_ref,age_band,segment,state,city,tenure_years,digital_enrolled,prior_fraud_claims
FRD000000372,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services",Closed-Confirmed,"2025-12-04 14:32:49",2025-12-04,"2025-12-05 05:28:13",NULL,"2025-12-22 16:11:00",147.84,147.84,147.84,0.00,1.0000,4,1,0,0,14,NULL,18,"Never Reported","Premier Savings",$25K-100K,1,active,CUS0000527,35-44,"Consumer Banking",FL,Tampa,2.9,0,0
FRD000005187,"Account Takeover",Unauthorized,0,"Online Banking","password reset abuse","Rules Engine","Fraud Ops","Under Review","2025-01-20 04:09:21",2025-01-20,"2025-01-26 17:27:15",NULL,NULL,2818.05,2818.05,1416.51,1401.54,0.5027,5,1,0,0,157,NULL,NULL,"Never Reported","Sapphire Preferred",$5K-25K,0,active,CUS0000651,25-34,"Consumer Banking",NJ,Newark,2.2,0,0
FRD000005763,"Account Takeover",Unauthorized,0,"Online Banking","SIM swap","ML Model","Fraud Ops","Under Review","2025-05-08 07:04:40",2025-05-08,"2025-05-09 14:43:53",NULL,NULL,3100.92,3100.92,1414.28,1686.64,0.4561,5,1,0,1,31,NULL,NULL,"Never Reported","Private Client Checking",$1K-5K,1,active,CUS0002547,55-64,"Private Client Banking",TX,Houston,0.8,1,0
FRD000008244,"Business Email Compromise",Authorized,1,"Online Banking","payroll diversion","Rules Engine","Wire Recall",Closed-Confirmed,"2024-02-18 11:06:02",2024-02-18,"2024-02-19 06:47:25","2024-02-19 11:22:26","2024-03-13 06:45:46",164205.02,164205.02,80681.03,83523.99,0.4913,2,0,0,0,19,24,23,"2. 24-72h","Business Savings",$5K-25K,1,active,CUS0002051,25-34,"Financial Banking",TX,Houston,0.8,1,0
FRD000001119,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","Rules Engine","Card Services",Closed-Confirmed,"2024-04-02 03:19:27",2024-04-02,"2024-04-02 07:45:43",NULL,"2024-04-23 13:16:48",199.56,199.56,155.97,43.59,0.7816,3,1,0,1,4,NULL,21,"Never Reported","Premier Savings",$25K-100K,1,active,CUS0000050,65+,"Consumer Banking",TX,Houston,16.1,1,2
FRD000008355,"Business Email Compromise",Authorized,1,"Online Banking","payroll diversion","ML Model","Wire Recall",Closed-Confirmed,"2025-04-22 05:26:40",2025-04-22,"2025-04-25 18:11:11","2025-04-26 11:34:43","2025-05-03 18:46:23",22005.53,22005.53,5518.22,16487.31,0.2508,1,0,0,0,84,102,11,"3. 3-7d","Premier Savings",<$1K,1,active,CUS0002789,45-54,"Consumer Banking",FL,Tampa,7.3,1,0
FRD000001686,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","Customer Reported","Card Services",Closed-Confirmed,"2025-11-30 02:57:25",2025-11-30,"2025-11-30 22:44:09","2025-12-01 06:41:26","2025-12-26 13:28:24",33.30,33.30,33.30,0.00,1.0000,6,1,0,1,19,27,26,"2. 24-72h","Freedom Unlimited",$100K+,0,active,CUS0002300,25-34,"Consumer Banking",KS,Topeka,1.7,1,0
FRD000008563,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","stolen SSN","Customer Reported","Fraud Ops","Under Review","2024-02-23 16:23:54",2024-02-23,"2024-05-04 05:56:02","2024-05-05 19:53:25",NULL,18281.55,2860.73,681.24,2179.49,0.2381,4,1,1,0,1693,1731,NULL,"4. 7d+","Financial Investment Account",$1K-5K,0,active,CUS0000269,45-54,"Private Client Banking",KS,Wichita,2.8,1,0
FRD000009730,"Tech Support/Impersonation",Authorized,1,"Online Banking","bank impersonation","Customer Reported",Claims,Closed-Confirmed,"2025-04-07 17:05:52",2025-04-07,"2025-04-08 23:31:01","2025-04-09 00:05:14","2025-04-25 22:27:37",13461.98,13461.98,4478.02,8983.96,0.3326,1,0,0,1,30,30,18,"2. 24-72h","Private Client Savings",<$1K,1,active,CUS0000941,18-24,"Private Client Banking",CA,"Los Angeles",6.0,1,0
FRD000000036,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","Customer Reported","Card Services","Closed-No Fraud","2025-07-29 15:05:04",2025-07-29,"2025-07-29 22:45:01","2025-07-30 01:46:10","2025-08-05 19:09:47",856.49,0.00,0.00,0.00,NULL,3,0,0,0,7,10,7,"1. <24h","Premier Savings",$1K-5K,1,active,CUS0002027,55-64,"Consumer Banking",KS,"Overland Park",0.9,1,1
FRD000000018,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Customer Reported","Card Services","Closed-No Fraud","2024-10-20 23:51:47",2024-10-20,"2024-10-21 07:15:51","2024-10-21 13:16:41","2024-10-31 07:24:43",396.74,0.00,0.00,0.00,NULL,1,0,0,1,7,13,10,"1. <24h","Private Client Savings",$5K-25K,1,active,CUS0000192,65+,"Private Client Banking",NJ,Trenton,0.5,0,2
FRD000005337,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","ML Model","Fraud Ops","Closed-No Fraud","2024-08-04 01:43:35",2024-08-04,"2024-08-19 07:22:21",NULL,"2024-08-27 04:43:29",11522.83,0.00,0.00,0.00,NULL,3,0,0,0,365,NULL,23,"Never Reported","Premier Savings",<$1K,1,active,CUS0000338,45-54,"Consumer Banking",TX,Dallas,17.6,1,2
FRD000002158,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Customer Reported","Card Services",Closed-Confirmed,"2024-06-09 13:02:23",2024-06-09,"2024-06-10 07:55:29","2024-06-10 13:14:16","2024-08-01 15:37:59",215.88,215.88,207.28,8.60,0.9602,1,1,0,0,18,24,53,"2. 24-72h","Auto Loan",<$1K,0,active,CUS0000721,35-44,"Consumer Banking",CA,"Los Angeles",8.6,1,1
FRD000000322,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Rules Engine","Card Services",Closed-Confirmed,"2025-11-14 18:31:52",2025-11-14,"2025-11-15 15:54:10",NULL,"2025-11-23 05:51:13",106.63,106.63,104.09,2.54,0.9762,2,1,0,0,21,NULL,8,"Never Reported","Total Checking",<$1K,1,active,CUS0000930,45-54,"Consumer Banking",FL,Orlando,5.1,1,0
FRD000001002,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","Merchant Alert","Card Services",Closed-Confirmed,"2024-08-23 12:49:12",2024-08-23,"2024-08-24 18:15:53",NULL,"2024-09-08 10:15:04",117.80,117.80,106.31,11.49,0.9025,3,1,0,0,29,NULL,15,"Never Reported","Sapphire Preferred",$1K-5K,0,closed,CUS0000069,35-44,"Consumer Banking",MI,"Grand Rapids",3.2,1,0
FRD000006770,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Rules Engine",Claims,Closed-Confirmed,"2026-01-09 03:06:43",2026-01-09,"2026-01-09 08:35:39","2026-01-09 12:33:35","2026-01-30 19:21:21",787.29,444.49,45.73,398.76,0.1029,1,0,0,0,5,9,21,"1. <24h","Private Client Savings",$1K-5K,1,active,CUS0000255,35-44,"Private Client Banking",TX,Houston,3.4,0,0
FRD000008884,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","ML Model","Fraud Ops",Closed-Confirmed,"2025-01-14 19:08:20",2025-01-14,"2025-03-27 04:48:45","2025-03-27 11:12:03","2025-05-07 01:49:33",1446.83,939.10,202.39,736.71,0.2155,4,1,1,1,1713,1720,112,"4. 7d+","Sapphire Preferred",$1K-5K,0,active,CUS0002354,25-34,"Consumer Banking",CA,"San Diego",0.4,1,0
FRD000006147,"Zelle/P2P Scam",Authorized,1,"Online Banking","fake marketplace seller","Customer Reported",Claims,Closed-Confirmed,"2024-04-20 18:53:27",2024-04-20,"2024-04-21 02:34:47","2024-04-21 06:30:18","2024-05-16 16:53:35",1015.26,1015.26,98.27,916.99,0.0968,1,0,0,0,7,11,25,"1. <24h","Premier Savings",$25K-100K,1,active,CUS0002519,25-34,"Consumer Banking",TX,Houston,5.0,1,0
FRD000004688,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","Customer Reported","Fraud Ops",Closed-Confirmed,"2024-11-22 10:04:12",2024-11-22,"2024-11-25 05:18:03","2024-11-25 23:35:24","2024-11-27 22:54:34",1129.91,1129.91,571.74,558.17,0.5060,3,1,0,0,67,85,5,"3. 3-7d","Private Client Savings",$5K-25K,1,active,CUS0001226,25-34,"Private Client Banking",FL,Miami,11.4,1,0
FRD000005544,"Account Takeover",Unauthorized,0,"Online Banking","password reset abuse","ML Model","Fraud Ops",Closed-Confirmed,"2025-09-29 06:12:25",2025-09-29,"2025-10-06 03:53:02",NULL,"2025-10-27 07:34:22",2865.79,2865.79,1326.19,1539.60,0.4628,3,1,0,0,165,NULL,28,"Never Reported","Premier Savings",$5K-25K,1,active,CUS0000787,18-24,"Consumer Banking",KS,Topeka,0.4,1,0
FRD000003892,Phishing/Smishing,Unauthorized,1,"Online Banking","QR code","ML Model","Fraud Ops",Closed-Confirmed,"2024-09-23 14:17:27",2024-09-23,"2024-09-28 11:23:30",NULL,"2024-10-18 08:43:52",1038.45,1038.45,696.62,341.83,0.6708,1,1,0,0,117,NULL,24,"Never Reported","Financial Investment Account",<$1K,0,active,CUS0000977,25-34,"Private Client Banking",FL,Orlando,0.5,1,2
FRD000004226,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","Customer Reported","Fraud Ops",Closed-Confirmed,"2026-03-13 18:14:40",2026-03-13,"2026-03-21 22:14:44","2026-03-23 00:28:00","2026-04-05 04:11:56",9371.35,4289.87,2363.14,1926.73,0.5509,4,1,1,0,196,222,22,"4. 7d+","Premier Savings",$5K-25K,1,active,CUS0000607,25-34,"Consumer Banking",CA,"San Francisco",8.6,0,0
FRD000007054,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2025-10-07 07:03:24",2025-10-07,"2025-10-08 00:39:26","2025-10-08 07:55:09","2025-10-17 21:50:03",674.68,674.68,73.80,600.88,0.1094,1,0,0,0,17,24,10,"2. 24-72h","Business Checking",$100K+,1,active,CUS0000801,25-34,"Financial Banking",PA,Philadelphia,1.0,1,1
FRD000008891,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","stolen SSN","Statement Review","Fraud Ops","Under Review","2025-12-22 22:13:56",2025-12-22,"2026-04-10 06:09:13","2026-04-17 14:39:31",NULL,24066.34,24066.34,4299.56,19766.78,0.1787,5,1,0,0,2599,2776,NULL,"4. 7d+","Sapphire Preferred",$1K-5K,0,active,CUS0001453,45-54,"Consumer Banking",FL,Orlando,8.7,0,0
FRD000002882,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services",Closed-Confirmed,"2024-01-09 23:53:28",2024-01-09,"2024-01-11 03:08:21",NULL,"2024-02-07 08:44:27",139.28,21.56,20.58,0.98,0.9545,4,1,0,1,27,NULL,28,"Never Reported","Private Client Savings",<$1K,1,active,CUS0000875,45-54,"Private Client Banking",NJ,"Jersey City",7.5,1,0
FRD000009163,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","Customer Reported","Fraud Ops",Closed-Confirmed,"2024-01-21 01:50:53",2024-01-21,"2024-03-13 23:04:09","2024-03-14 05:45:59","2024-03-26 12:17:11",2104.86,2104.86,389.74,1715.12,0.1852,1,1,1,0,1269,1275,65,"4. 7d+","Sapphire Preferred",$1K-5K,0,active,CUS0000307,45-54,"Consumer Banking",CA,"San Diego",1.4,1,0
FRD000000396,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services","Closed-No Fraud","2024-07-19 13:05:50",2024-07-19,"2024-07-19 18:28:58","2024-07-20 06:04:20","2024-08-06 20:34:54",181.44,0.00,0.00,0.00,NULL,3,0,0,0,5,16,18,"1. <24h","Total Checking",$5K-25K,1,active,CUS0001483,65+,"Consumer Banking",CA,"San Francisco",1.0,1,0
FRD000009061,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","Statement Review","Fraud Ops",Closed-Confirmed,"2024-03-09 05:45:20",2024-03-09,"2024-05-30 12:39:11",NULL,"2024-06-19 07:50:42",21001.03,21001.03,5004.74,15996.29,0.2383,2,1,0,0,1974,NULL,102,"Never Reported","Financial Investment Account",$1K-5K,0,active,CUS0001505,45-54,"Private Client Banking",KS,"Overland Park",1.7,1,0
FRD000001079,Card-Not-Present,Unauthorized,0,"Online Banking","online retail","ML Model","Card Services",Closed-Confirmed,"2024-04-18 08:40:18",2024-04-18,"2024-04-18 20:13:20","2024-04-19 11:43:17","2024-05-06 23:56:09",944.83,944.83,927.53,17.30,0.9817,2,1,1,0,11,27,18,"2. 24-72h","Business Platinum",$5K-25K,0,active,CUS0000650,25-34,"Financial Banking",TX,Houston,5.7,1,0
FRD000008268,"Business Email Compromise",Authorized,1,"Online Banking","CEO impersonation","Rules Engine","Wire Recall","Closed-No Fraud","2025-11-03 05:52:21",2025-11-03,"2025-11-05 22:17:57","2025-11-05 22:53:24","2025-11-25 19:35:29",67528.90,0.00,0.00,0.00,NULL,1,0,0,1,64,65,22,"2. 24-72h","Freedom Unlimited",$1K-5K,0,active,CUS0002922,65+,"Consumer Banking",CA,"Los Angeles",4.5,0,0
FRD000008485,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","ML Model","Fraud Ops","Under Review","2024-04-21 23:07:18",2024-04-21,"2024-06-18 14:52:18","2024-06-21 23:06:47",NULL,2584.74,2584.74,536.05,2048.69,0.2074,3,1,1,1,1383,1463,NULL,"4. 7d+","Sapphire Preferred",$1K-5K,0,active,CUS0000777,18-24,"Consumer Banking",KS,"Overland Park",5.2,1,0
FRD000008262,"Business Email Compromise",Authorized,1,"Online Banking","vendor invoice redirect","Customer Reported","Wire Recall",Closed-Confirmed,"2026-05-03 09:05:38",2026-05-03,"2026-05-04 15:34:57","2026-05-05 13:13:57","2026-05-15 08:46:26",160400.04,160400.04,44775.58,115624.46,0.2791,3,0,0,0,30,52,11,"2. 24-72h","Financial Investment Account",$1K-5K,0,active,CUS0002883,65+,"Private Client Banking",KS,Wichita,0.5,1,0
FRD000006151,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Customer Reported",Claims,Closed-Confirmed,"2024-10-03 20:50:24",2024-10-03,"2024-10-04 07:22:49","2024-10-04 11:45:23","2024-10-28 05:27:50",954.66,954.66,148.93,805.73,0.1560,2,0,0,0,10,14,24,"1. <24h","Private Client Savings",$25K-100K,1,active,CUS0000200,55-64,"Private Client Banking",TX,Houston,5.4,1,2
FRD000009888,"Tech Support/Impersonation",Authorized,1,"Online Banking","refund overpayment","Customer Reported",Claims,Closed-Confirmed,"2024-07-07 21:22:50",2024-07-07,"2024-07-10 07:50:56","2024-07-12 02:25:14","2024-08-06 09:00:34",31631.29,31631.29,6906.57,24724.72,0.2183,2,0,0,0,58,101,29,"3. 3-7d","Freedom Unlimited",$1K-5K,0,active,CUS0001977,25-34,"Consumer Banking",FL,Orlando,13.5,1,0
FRD000005840,"Account Takeover",Unauthorized,0,"Online Banking","password reset abuse","ML Model","Fraud Ops",Closed-Confirmed,"2025-01-27 03:46:18",2025-01-27,"2025-01-27 11:37:30","2025-01-27 20:19:20","2025-02-17 11:25:59",1424.68,1424.68,630.40,794.28,0.4425,2,1,1,0,7,16,21,"1. <24h","Premier Savings",<$1K,1,closed,CUS0002766,55-64,"Consumer Banking",FL,Tampa,5.5,0,0
FRD000000022,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","ML Model","Card Services",Closed-Confirmed,"2026-03-04 09:28:32",2026-03-04,"2026-03-05 02:23:53","2026-03-05 06:06:59","2026-03-09 12:41:28",86.48,8.26,5.82,2.44,0.7046,6,1,0,0,16,20,5,"1. <24h","Auto Loan",$5K-25K,0,active,CUS0002633,45-54,"Consumer Banking",KS,Wichita,10.6,1,0
FRD000004257,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","ML Model","Fraud Ops","Under Review","2025-09-15 05:30:06",2025-09-15,"2025-09-17 22:31:58",NULL,NULL,2156.15,2156.15,1191.83,964.32,0.5528,1,1,0,0,65,NULL,NULL,"Never Reported","Total Checking",$5K-25K,1,active,CUS0002763,35-44,"Consumer Banking",NY,Buffalo,1.9,1,0
FRD000001488,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services",Closed-Confirmed,"2024-01-05 22:01:40",2024-01-05,"2024-01-06 09:39:56","2024-01-06 18:57:11","2024-01-27 00:05:30",372.38,372.38,337.57,34.81,0.9065,3,1,0,0,11,20,21,"1. <24h","Auto Loan",$5K-25K,0,closed,CUS0000240,45-54,"Consumer Banking",NY,Buffalo,0.4,1,0
FRD000008177,"Business Email Compromise",Authorized,1,"Online Banking","payroll diversion","Customer Reported","Wire Recall",Closed-Confirmed,"2024-12-17 11:18:58",2024-12-17,"2024-12-19 02:19:05","2024-12-19 03:14:50","2024-12-24 20:36:56",24018.45,24018.45,10061.23,13957.22,0.4189,3,0,0,1,39,39,7,"2. 24-72h","Sapphire Preferred",$1K-5K,0,active,CUS0001306,35-44,"Consumer Banking",MI,Detroit,3.1,1,0
FRD000006353,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Customer Reported",Claims,Closed-Confirmed,"2025-06-06 18:48:16",2025-06-06,"2025-06-07 08:13:03","2025-06-07 12:13:15","2025-06-24 00:19:53",2515.17,2515.17,392.91,2122.26,0.1562,1,0,0,0,13,17,17,"1. <24h","Financial Investment Account",$1K-5K,0,active,CUS0000193,65+,"Private Client Banking",CA,"San Francisco",1.3,1,0
FRD000006718,"Zelle/P2P Scam",Authorized,1,"Online Banking","fake marketplace seller","Customer Reported",Claims,Closed-Confirmed,"2025-04-05 09:55:21",2025-04-05,"2025-04-05 16:22:07","2025-04-05 21:38:10","2025-05-04 12:47:07",1187.75,1187.75,172.37,1015.38,0.1451,1,0,0,0,6,11,29,"1. <24h","Sapphire Preferred",$5K-25K,0,active,CUS0000763,25-34,"Consumer Banking",TX,Houston,24.2,1,1
FRD000005701,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","Customer Reported","Fraud Ops",Closed-Confirmed,"2025-06-26 01:06:03",2025-06-26,"2025-07-08 09:52:10","2025-07-09 01:32:57","2025-08-05 10:19:09",1827.43,180.34,86.70,93.64,0.4808,2,1,0,0,296,312,40,"4. 7d+","Auto Loan",$1K-5K,0,active,CUS0002244,25-34,"Consumer Banking",TX,Austin,13.1,1,3
FRD000000745,Card-Not-Present,Unauthorized,0,"Online Banking","digital wallet","ML Model","Card Services",Closed-Confirmed,"2025-09-01 15:37:36",2025-09-01,"2025-09-02 00:38:05",NULL,"2025-09-24 16:27:20",983.01,812.12,558.52,253.60,0.6877,1,1,0,0,9,NULL,23,"Never Reported","Freedom Unlimited",<$1K,0,active,CUS0001146,35-44,"Consumer Banking",KS,"Overland Park",1.4,0,0
FRD000000045,Card-Not-Present,Unauthorized,0,"Online Banking","card testing","Rules Engine","Card Services","Closed-No Fraud","2024-03-31 11:05:29",2024-03-31,"2024-04-01 05:33:32",NULL,"2024-04-20 18:53:20",547.69,0.00,0.00,0.00,NULL,7,0,0,0,18,NULL,20,"Never Reported","Sapphire Preferred",$5K-25K,0,active,CUS0001745,35-44,"Consumer Banking",NY,Albany,1.1,1,0
FRD000006433,"Zelle/P2P Scam",Authorized,1,"Online Banking","ticket resale","Customer Reported",Claims,Closed-Confirmed,"2024-06-24 06:55:50",2024-06-24,"2024-06-24 16:25:06","2024-06-25 01:11:12","2024-07-23 01:03:21",736.31,736.31,88.52,647.79,0.1202,2,0,0,0,9,18,28,"1. <24h","Private Client Checking",$25K-100K,1,active,CUS0002236,35-44,"Private Client Banking",MI,"Grand Rapids",5.9,1,0
FRD000004550,Phishing/Smishing,Unauthorized,1,"Online Banking","credential harvest","ML Model","Fraud Ops",Closed-Confirmed,"2026-04-08 07:16:40",2026-04-08,"2026-04-11 15:31:26",NULL,"2026-05-14 09:27:24",4282.01,3522.70,1615.70,1907.00,0.4587,1,1,0,0,80,NULL,36,"Never Reported","Financial Investment Account",$5K-25K,0,active,CUS0000692,65+,"Private Client Banking",NY,"New York",2.2,1,0
FRD000005007,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","ML Model","Fraud Ops",Closed-Confirmed,"2024-01-24 22:33:53",2024-01-24,"2024-02-02 02:44:59","2024-02-03 13:31:11","2024-02-13 01:26:58",5072.38,2655.02,1411.91,1243.11,0.5318,2,1,1,0,196,230,19,"4. 7d+","Private Client Savings",$1K-5K,1,active,CUS0002562,25-34,"Private Client Banking",CA,"San Diego",5.6,1,0
FRD000006634,"Zelle/P2P Scam",Authorized,1,"Online Banking","utility impersonation","Customer Reported",Claims,Closed-Confirmed,"2026-03-24 20:39:34",2026-03-24,"2026-03-24 21:18:31","2026-03-24 22:11:40","2026-04-14 12:33:20",730.74,730.74,94.42,636.32,0.1292,1,1,0,0,0,1,20,"1. <24h","Private Client Checking",$1K-5K,1,active,CUS0000477,65+,"Private Client Banking",KS,Wichita,8.5,1,0
FRD000004452,Phishing/Smishing,Unauthorized,1,"Online Banking","SMS link","Rules Engine","Fraud Ops",Open,"2024-04-22 07:51:21",2024-04-22,"2024-04-26 00:47:22","2024-04-27 11:30:28",NULL,5403.35,355.13,149.70,205.43,0.4215,1,1,0,0,88,123,NULL,"3. 3-7d","Total Checking",$25K-100K,1,active,CUS0002987,55-64,"Consumer Banking",FL,Tampa,7.5,1,0
FRD000004538,Phishing/Smishing,Unauthorized,1,"Online Banking","fake login page","Rules Engine","Fraud Ops",Closed-Confirmed,"2025-02-02 05:54:29",2025-02-02,"2025-02-04 20:26:23","2025-02-05 08:39:48","2025-02-19 16:12:35",7085.77,7085.77,4010.48,3075.29,0.5660,1,1,1,0,62,74,17,"3. 3-7d","Sapphire Preferred",$25K-100K,0,closed,CUS0002258,55-64,"Consumer Banking",TX,Dallas,4.0,1,0
FRD000001993,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Rules Engine","Card Services",Closed-Confirmed,"2025-04-23 08:11:19",2025-04-23,"2025-04-23 21:58:57",NULL,"2025-05-24 13:16:28",320.02,297.33,270.74,26.59,0.9106,4,1,0,0,13,NULL,31,"Never Reported","Sapphire Preferred",$1K-5K,0,closed,CUS0001706,35-44,"Consumer Banking",MI,"Grand Rapids",6.2,1,0
FRD000005744,"Account Takeover",Unauthorized,0,"Online Banking","credential stuffing","Customer Reported","Fraud Ops",Closed-Confirmed,"2024-02-09 20:20:38",2024-02-09,"2024-02-18 06:34:50","2024-02-19 22:07:11","2024-02-28 21:46:22",2338.34,2338.34,862.80,1475.54,0.3690,4,1,0,0,202,241,19,"4. 7d+","Total Checking",<$1K,1,active,CUS0001648,18-24,"Consumer Banking",NY,"New York",2.4,1,0
FRD000006838,"Zelle/P2P Scam",Authorized,1,"Online Banking","rental deposit","Customer Reported",Claims,Open,"2025-04-15 07:18:05",2025-04-15,"2025-04-15 12:18:55","2025-04-15 14:01:01",NULL,847.26,181.92,20.70,161.22,0.1138,1,0,0,0,5,6,NULL,"1. <24h","Auto Loan",$1K-5K,0,active,CUS0001484,25-34,"Consumer Banking",CA,"San Diego",14.4,1,0
FRD000008791,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking","synthetic identity","ML Model","Fraud Ops","Under Review","2025-07-03 17:48:27",2025-07-03,"2025-08-16 07:23:31","2025-08-20 14:45:43",NULL,10300.88,10300.88,2094.21,8206.67,0.2033,5,1,1,0,1045,1148,NULL,"4. 7d+","Private Client Savings",$1K-5K,1,active,CUS0002083,45-54,"Private Client Banking",FL,Orlando,0.4,1,0
FRD000006729,"Zelle/P2P Scam",Authorized,1,"Online Banking","fake marketplace seller","Customer Reported",Claims,Closed-Confirmed,"2024-08-15 18:52:57",2024-08-15,"2024-08-16 12:29:00","2024-08-16 18:37:49","2024-09-06 00:05:16",1355.65,1355.65,133.36,1222.29,0.0984,6,0,0,0,17,23,21,"1. <24h","Total Checking",$5K-25K,1,active,CUS0000245,45-54,"Consumer Banking",TX,Dallas,8.4,1,0
FRD000008386,"Business Email Compromise",Authorized,1,"Online Banking","closing wire redirect","Customer Reported","Wire Recall",Closed-Confirmed,"2025-10-19 01:17:19",2025-10-19,"2025-10-23 10:40:26","2025-10-23 12:59:53","2025-11-14 04:14:21",50694.13,50694.13,20560.32,30133.81,0.4056,2,1,0,1,105,107,26,"3. 3-7d","Total Checking",$25K-100K,1,active,CUS0002682,45-54,"Consumer Banking",CA,"San Diego",2.2,1,0
FRD000008547,"Identity Theft/Synthetic",Unauthorized,0,"Online Banking",bust-out,"ML Model","Fraud Ops","Under Review","2026-02-21 03:21:12",2026-02-21,"2026-05-08 10:55:00",NULL,NULL,34000.37,34000.37,6566.61,27433.76,0.1931,4,1,0,0,1831,NULL,NULL,"Never Reported","Sapphire Preferred",$5K-25K,0,active,CUS0000826,25-34,"Consumer Banking",MI,"Grand Rapids",1.9,1,1
FRD000002108,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Merchant Alert","Card Services",Closed-Confirmed,"2024-04-08 05:01:59",2024-04-08,"2024-04-09 01:40:40","2024-04-09 06:58:38","2024-05-26 21:21:21",91.89,91.89,81.17,10.72,0.8833,2,1,1,0,20,25,48,"2. 24-72h","Private Client Savings",$1K-5K,1,active,CUS0000478,18-24,"Private Client Banking",CA,"San Diego",3.9,1,0
FRD000004432,Phishing/Smishing,Unauthorized,1,"Online Banking","fake login page","ML Model","Fraud Ops",Closed-Confirmed,"2026-02-20 13:31:02",2026-02-20,"2026-02-20 19:29:08",NULL,"2026-03-12 07:40:04",4194.99,4194.99,2430.75,1764.24,0.5794,3,1,0,1,5,NULL,19,"Never Reported","Freedom Unlimited",$100K+,0,active,CUS0000144,45-54,"Consumer Banking",FL,Orlando,5.2,1,0
FRD000009667,"Tech Support/Impersonation",Authorized,1,"Online Banking","fake antivirus","Customer Reported",Claims,Closed-Confirmed,"2025-09-24 21:02:59",2025-09-24,"2025-09-26 05:13:23","2025-09-26 18:26:45","2025-10-07 04:08:02",1685.29,602.42,130.20,472.22,0.2161,2,0,0,1,32,45,12,"2. 24-72h","Total Checking",$5K-25K,1,active,CUS0001010,55-64,"Consumer Banking",NJ,Trenton,1.4,1,1
FRD000000834,Card-Not-Present,Unauthorized,0,"Online Banking","subscription abuse","Merchant Alert","Card Services","Under Review","2025-05-17 13:19:08",2025-05-17,"2025-05-18 10:42:01","2025-05-18 19:53:18",NULL,479.51,203.89,203.89,0.00,1.0000,4,1,1,1,21,30,NULL,"2. 24-72h","Business Savings",<$1K,1,active,CUS0000133,25-34,"Financial Banking",KS,"Overland Park",0.8,1,0
FRD000005644,"Account Takeover",Unauthorized,0,"Online Banking","SIM swap","ML Model","Fraud Ops",Closed-Confirmed,"2024-07-20 07:25:32",2024-07-20,"2024-07-25 18:11:04",NULL,"2024-08-13 07:58:01",9110.80,9110.80,3663.83,5446.97,0.4021,2,1,0,1,130,NULL,24,"Never Reported","Freedom Unlimited",$5K-25K,0,active,CUS0002162,35-44,"Consumer Banking",KS,Topeka,4.9,1,0
